rank,repo_owner,repo_name,median_score,models_n
1,abishekvashok,cmatrix,0.9154,9
2,jonas,tig,0.7686,9
3,jarun,nnn,0.7673,9
4,madler,pigz,0.6643,9
5,eradman,entr,0.657,9
6,xorg62,tty-clock,0.6299,9
7,robertdavidgraham,masscan,0.4884,9
8,google,brotli,0.4671,9
9,mkj,dropbear,0.4056,9
10,cmatsuoka,figlet,0.4048,9
11,lz4,lz4,0.3643,9
12,facebook,zstd,0.3528,9
13,ggreer,the_silver_searcher,0.3459,9
14,lfos,calcurse,0.3348,9
15,cslarsen,jp2a,0.2995,9
16,tukaani-project,xz,0.2652,9
17,lh3,seqtk,0.2145,9
18,zevv,duc,0.1682,9
19,hpjansson,chafa,0.1611,9
20,jqlang,jq,0.1609,9
21,doxygen,doxygen,0.1572,9
22,htop-dev,htop,0.0895,9
23,LuaJIT,LuaJIT,0.0768,9
24,chirlu,sox,0.0715,9
25,arq5x,bedtools2,0.0598,9
26,lua,lua,0.0508,9
27,tinycc,tinycc,0.048,9
28,samtools,samtools,0.0386,9
29,FFmpeg,FFmpeg,0.0348,9
30,universal-ctags,ctags,0.0102,9
