repo_owner,repo_name,language,generated_behavioral_tests,best_score,Claude Opus 4.6 score,Claude Opus 4.6 cost,Claude Opus 4.6 calls,Claude Sonnet 4.6 score,Claude Sonnet 4.6 cost,Claude Sonnet 4.6 calls,Claude Opus 4.7 score,Claude Opus 4.7 cost,Claude Opus 4.7 calls,Gemini 3.1 Pro score,Gemini 3.1 Pro cost,Gemini 3.1 Pro calls,GPT 5.4 score,GPT 5.4 cost,GPT 5.4 calls,Claude Haiku 4.5 score,Claude Haiku 4.5 cost,Claude Haiku 4.5 calls,GPT 5.4 mini score,GPT 5.4 mini cost,GPT 5.4 mini calls,GPT 5 mini score,GPT 5 mini cost,GPT 5 mini calls,Gemini 3 Flash score,Gemini 3 Flash cost,Gemini 3 Flash calls
abishekvashok,cmatrix,c,508,0.97,0.9705,5.9865,139,0.9587,13.4935,292,0.9488,4.4354,130,0.939,2.9436,84,0.9154,0.3678,8,0.8563,0.4432,72,0.7953,0.0336,28,0.7205,0.0081,7,0.6535,0.1664,51
agourlay,zip-password-finder,rs,680,0.979,0.9794,3.5115,129,0.7912,8.6289,295,0.9735,2.533,78,0.9029,1.155,86,0.2721,0.1939,10,0.3897,0.5279,94,0.2735,0.0463,9,0.0544,0.025,18,0.7294,0.261,118
ajeetdsouza,zoxide,rs,531,0.765,0.6365,18.4345,307,0.6987,14.6133,368,0.7646,10.0665,187,0.5819,2.102,121,0.5348,0.3353,9,0.467,0.8779,112,0.0151,0.0331,8,0.0,0.0452,15,0.5198,0.4235,157
alecthomas,chroma,go,515,0.159,0.0,16.3755,297,0.1592,37.3555,565,0.0447,0.4796,20,0.0,1.9028,141,0.0913,0.3345,9,0.0,0.6548,114,0.0,0.0335,8,0.0,0.0235,16,0.0,0.2357,64
alexpovel,srgn,rs,1852,0.695,0.628,13.4323,344,0.6949,19.2957,565,0.0238,1.5688,64,0.5788,1.1256,94,0.581,0.4094,12,0.4363,1.1519,167,0.0065,0.0263,6,0.46,0.0367,13,0.5313,0.2485,111
altdesktop,i3-style,rs,539,0.8,0.7996,12.8724,205,0.7792,16.0678,322,0.7347,7.3005,165,0.4267,2.0211,133,0.4879,0.3135,8,0.3488,0.8515,117,0.3544,0.023,8,0.3024,0.0179,11,0.4879,0.528,107
AmmarAbouZor,tui-journal,rs,1402,0.708,0.0,3.2711,239,0.0862,35.702,579,0.7083,4.4247,107,0.4165,0.482,42,0.5842,0.2886,10,0.4422,0.6505,116,0.3417,0.0441,9,0.3452,0.0288,20,0.005,0.2555,74
anordal,shellharden,rs,1095,0.817,0.0,2.1278,256,0.8174,74.4968,840,0.7196,1.9924,69,0.7114,1.3965,143,0.6329,0.1646,9,0.5443,0.9573,147,0.1616,0.0399,18,0.0721,0.0313,14,0.5963,0.236,90
antonmedv,fx,go,2047,0.757,0.7572,20.7394,396,0.0425,25.9821,621,0.4934,5.9252,145,0.4211,1.3732,127,0.4934,0.1985,10,0.1754,0.7325,133,0.403,0.031,7,0.1163,0.0145,11,0.1607,0.186,85
antonmedv,walk,go,470,0.743,0.5894,15.7566,297,0.483,23.5161,407,0.7426,1.6468,70,0.2255,1.6315,80,0.3021,0.2357,13,0.4404,0.8845,175,0.2596,0.0213,7,0.2234,0.0182,16,0.2617,0.1592,35
ariga,atlas,go,1318,0.548,0.0,4.9985,296,0.0933,35.07,626,0.5478,8.1126,173,0.2162,1.6213,114,0.2625,0.4257,16,0.2838,0.6143,127,0.0,0.0552,18,0.2041,0.0235,15,0.2253,0.268,104
arq5x,bedtools2,c,1053,0.389,0.3894,19.0744,293,0.0019,24.9059,426,0.0209,1.6685,60,0.2023,1.6557,73,0.1681,0.3426,7,0.0598,0.7838,133,0.0437,0.0561,9,0.0446,0.0446,17,0.0921,0.2026,51
ArthurSonzogni,json-tui,cpp,755,0.71,0.7099,13.3353,298,0.5232,27.6137,444,0.4503,1.0732,43,0.4675,1.1085,60,0.396,0.1011,7,0.5258,0.5244,81,0.4437,0.0296,7,0.3563,0.0121,10,0.1947,0.1972,59
ast-grep,ast-grep,rs,882,0.119,0.119,11.9393,322,0.0805,28.6441,621,0.0385,1.4459,46,0.059,0.7891,66,0.0941,0.4056,11,0.0261,0.4944,92,0.0,0.0482,38,0.0136,0.0435,16,0.0261,0.266,70
astaxie,bat,go,1091,0.718,0.7177,9.6268,188,0.6453,18.1243,365,0.6636,4.9528,126,0.505,1.2479,55,0.5894,0.1704,9,0.4986,0.5761,88,0.264,0.0373,8,0.1604,0.0121,9,0.6544,0.2888,85
astro,deadnix,rs,602,0.855,0.0,3.2889,258,0.814,12.7846,294,0.8555,9.5894,142,0.701,1.7079,81,0.4452,0.3979,9,0.4485,1.2348,122,0.0199,0.0494,29,0.2309,0.0455,8,0.5748,0.2709,57
axodotdev,oranda,rs,767,0.536,0.3963,9.624,238,0.5359,21.1479,501,0.5359,1.3636,50,0.4394,0.9028,80,0.425,0.2163,10,0.1721,0.2853,65,0.1917,0.0258,9,0.3103,0.0305,19,0.4146,0.4233,103
bellard,quickjs,c,3034,0.036,0.0359,16.3897,248,0.0003,82.9842,995,0.0115,0.5221,18,0.0102,1.3049,119,0.0119,0.2138,13,0.0003,0.5477,124,0.0,0.0144,8,0.0,0.0128,10,0.0,0.4391,96
bensadeh,tailspin,rs,615,0.758,0.7203,20.2964,324,0.7577,58.9139,840,0.7561,2.1827,65,0.0211,1.5647,51,0.5967,0.2625,8,0.0,0.8659,101,0.6293,0.0952,10,0.2618,0.024,13,0.5659,0.6692,130
blacknon,hwatch,rs,1016,0.811,0.811,10.7122,221,0.0187,14.1345,378,0.7352,1.2285,56,0.751,1.04,73,0.5659,0.2666,9,0.6604,0.5893,88,0.2461,0.0247,9,0.0256,0.0318,10,0.6112,0.3392,71
BLAKE3-team,BLAKE3,rs,647,0.975,0.949,5.6762,171,0.9227,4.5081,213,0.9753,3.8786,84,0.9057,2.225,103,0.119,0.2288,10,0.0835,0.9932,148,0.0015,0.0507,16,0.0912,0.0308,18,0.5131,0.4657,88
bootandy,dust,rs,584,0.709,0.7003,15.7768,245,0.6866,45.1506,499,0.7089,12.1241,171,0.4572,1.3239,88,0.5223,0.4632,11,0.4281,1.4571,164,0.1832,0.0442,8,0.0205,0.0454,18,0.2825,0.213,53
boyter,scc,go,464,0.377,0.3728,15.0147,315,0.3772,46.3504,593,0.1961,1.6893,54,0.1142,1.2188,98,0.0453,0.2624,9,0.0819,0.5954,86,0.0172,0.025,9,0.0194,0.0262,13,0.0582,0.2252,76
brocode,fblog,rs,978,0.86,0.8599,12.2875,304,0.0133,13.9087,400,0.7444,5.1188,127,0.6667,1.9157,122,0.0123,0.2361,8,0.3885,0.9612,144,0.1012,0.0536,20,0.2894,0.0239,20,0.0123,0.2433,77
BurntSushi,ripgrep,rs,1994,0.797,0.0,2.7418,261,0.7974,19.3937,508,0.4067,2.4679,75,0.2974,1.3497,103,0.3546,0.2639,7,0.2372,0.8837,118,0.002,0.0116,11,0.2768,0.0271,18,0.3511,0.2521,77
BurntSushi,xsv,rs,1182,0.827,0.8274,17.2483,288,0.8063,15.5292,367,0.8198,4.5149,106,0.3221,1.095,78,0.6557,0.3213,8,0.0,0.8913,137,0.0626,0.0177,11,0.027,0.0311,18,0.3959,0.3267,97
Byron,dua-cli,rs,709,0.869,0.8688,10.5587,277,0.8392,22.2091,502,0.708,2.8196,80,0.0423,1.8743,131,0.4048,0.1743,7,0.4908,1.2685,137,0.2595,0.0515,11,0.3907,0.0406,22,0.0,0.3075,100
Canop,broot,rs,539,0.67,0.6698,14.42,241,0.564,23.2959,406,0.6085,1.5719,58,0.525,2.7988,149,0.1818,0.4192,7,0.3358,0.4347,99,0.0724,0.0804,28,0.3135,0.0127,9,0.3729,0.2294,42
Canop,rhit,rs,817,0.532,0.5239,15.7011,230,0.5251,40.6395,458,0.5324,1.1846,34,0.3109,3.1667,135,0.4321,0.227,7,0.2852,1.0785,134,0.0135,0.0667,17,0.0783,0.0217,15,0.3843,0.3985,68
cheat,cheat,go,297,0.599,0.5993,5.8044,198,0.5051,14.3596,373,0.4916,3.1051,86,0.229,1.1979,70,0.4512,0.3995,10,0.2256,0.9066,159,0.0943,0.04,7,0.0572,0.032,14,0.0303,0.328,110
chirlu,sox,c,1202,0.379,0.3794,10.1279,233,0.292,13.129,287,0.0391,1.2455,49,0.0715,1.1538,53,0.1331,0.23,7,0.0308,0.8555,125,0.0133,0.0389,16,0.0358,0.0258,10,0.0857,0.2922,66
chmln,handlr,rs,722,0.907,0.8089,13.2123,319,0.8102,19.644,522,0.9072,7.8654,169,0.7798,1.4101,121,0.6537,0.2451,10,0.3186,0.7363,156,0.4668,0.0549,14,0.1593,0.0195,24,0.2119,0.291,128
chmln,sd,rs,810,0.909,0.8988,7.0725,270,0.8506,3.7635,181,0.9086,3.6442,113,0.8,1.3287,122,0.816,0.2187,8,0.6864,0.8743,149,0.458,0.0376,14,0.7086,0.03,22,0.8074,0.2526,111
clog-tool,clog-cli,rs,575,0.93,0.8748,17.8054,357,0.9304,18.6072,453,0.84,5.8823,154,0.7635,2.2329,182,0.6504,0.3152,12,0.5774,0.4817,123,0.0,0.0238,8,0.3252,0.0159,12,0.0278,0.3235,113
cmatsuoka,figlet,c,872,0.775,0.7752,18.0019,279,0.6697,44.9384,645,0.7225,8.0597,134,0.4048,1.727,90,0.4278,0.5172,16,0.3739,1.4312,196,0.0906,0.0323,10,0.0229,0.0305,17,0.3028,0.277,68
codesnap-rs,codesnap,rs,730,0.592,0.074,8.5437,172,0.074,20.9221,395,0.4712,1.8802,54,0.4836,1.4029,83,0.5918,0.7897,11,0.3986,0.4863,86,0.4411,0.083,41,0.0863,0.0136,9,0.2288,0.5071,116
cordx56,rustowl,rs,589,0.752,0.7182,10.7376,250,0.7521,10.4262,237,0.6282,2.2155,84,0.5637,1.9598,123,0.4244,0.2499,10,0.4414,0.6527,108,0.253,0.0315,7,0.292,0.0175,19,0.3922,0.2904,65
crowdagger,crowbook,rs,807,0.603,0.4498,19.0036,320,0.6035,85.2738,937,0.0087,2.0082,69,0.2243,0.9845,81,0.2057,0.3379,11,0.2119,0.4743,106,0.1152,0.0293,9,0.1363,0.0391,17,0.1276,0.4505,92
cslarsen,jp2a,c,631,0.561,0.42,13.0676,192,0.4216,45.9345,495,0.561,16.1104,239,0.2599,2.2077,100,0.252,0.4274,15,0.2995,1.2418,162,0.141,0.0481,37,0.046,0.0149,12,0.3328,0.3092,68
cweill,gotests,go,603,0.619,0.6186,14.131,274,0.5224,31.3558,542,0.6103,4.8702,105,0.2139,1.2245,51,0.4511,0.5879,16,0.33,1.1794,135,0.2504,0.0395,12,0.1808,0.0098,8,0.3665,0.5322,117
dalance,amber,rs,567,0.711,0.6861,14.4734,329,0.7108,23.2694,507,0.679,2.9703,96,0.6067,0.9294,91,0.6338,4.7506,1000,0.4762,0.3257,81,0.0212,0.018,7,0.0988,0.0086,8,0.6426,0.3032,126
dandavison,delta,rs,950,0.373,0.0084,8.3235,236,0.3726,34.0822,470,0.2305,0.3471,22,0.0,1.7011,120,0.1779,0.2266,7,0.1011,1.275,166,0.0537,0.0452,8,0.2074,0.0271,14,0.2126,0.2036,52
danmar,cppcheck,cpp,2126,0.146,0.1063,6.9523,175,0.0306,15.0227,370,0.0282,0.6243,27,0.0461,1.6449,94,0.024,0.236,9,0.1458,0.7444,112,0.0193,0.0295,11,0.1383,0.0361,15,0.0884,0.1989,74
